conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
CONSTRUCTION_TECHNIQUE:1,Adobe,,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,GCI
CONSTRUCTION_TECHNIQUE:2,Brick,,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,GCI
CONSTRUCTION_TECHNIQUE:3,"Concrete, masonry unit",,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,GCI
CONSTRUCTION_TECHNIQUE:4,"Concrete, poured/precast",,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,GCI
CONSTRUCTION_TECHNIQUE:5,Corrogated metal,,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,GCI
CONSTRUCTION_TECHNIQUE:6,Hollow clay tile,,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,GCI
CONSTRUCTION_TECHNIQUE:7,Post-and-beam,,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,GCI
CONSTRUCTION_TECHNIQUE:8,Steel,,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,GCI
CONSTRUCTION_TECHNIQUE:9,Stone,,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,GCI
CONSTRUCTION_TECHNIQUE:10,Wood,,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,GCI
CONSTRUCTION_TECHNIQUE:11,Unknown,,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Index,GCI
