conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
PERIOD_UID:52,PREHISTORIC,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,EH
PERIOD_UID:26,PREHISTORIC OR ROMAN,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,EH
PERIOD_UID:10,ROMAN,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,EH
PERIOD_UID:11,EARLY MEDIEVAL,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,EH
PERIOD_UID:28,MEDIEVAL,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,EH
PERIOD_UID:16,POST MEDIEVAL,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,EH
PERIOD_UID:53,EARLY MED. OR LATER,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,EH
PERIOD_UID:24,20TH CENTURY,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,EH
PERIOD_UID:105,21ST CENTURY,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,
PERIOD_UID:25,UNCERTAIN,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,
PERIOD_UID:94,LATER PREHISTORIC,,PERIOD_UID:52,Index,EH
PERIOD_UID:95,EARLY PREHISTORIC,,PERIOD_UID:52,Index,EH
PERIOD_UID:6,MESOLITHIC,,PERIOD_UID:95,Index,EH
PERIOD_UID:57,EARLY MESOLITHIC,,PERIOD_UID:6,Index,EH
PERIOD_UID:58,LATE MESOLITHIC,,PERIOD_UID:6,Index,EH
PERIOD_UID:5,PALAEOLITHIC,,PERIOD_UID:95,Index,EH
PERIOD_UID:54,LOWER PALAEOLITHIC,,PERIOD_UID:5,Index,EH
PERIOD_UID:55,MIDDLE PALAEOLITHIC,,PERIOD_UID:5,Index,EH
PERIOD_UID:56,UPPER PALAEOLITHIC,,PERIOD_UID:5,Index,EH
PERIOD_UID:7,NEOLITHIC,,PERIOD_UID:94,Index,EH
PERIOD_UID:59,EARLY NEOLITHIC,,PERIOD_UID:7,Index,EH
PERIOD_UID:60,MIDDLE NEOLITHIC,,PERIOD_UID:7,Index,EH
PERIOD_UID:61,LATE NEOLITHIC,,PERIOD_UID:7,Index,EH
PERIOD_UID:8,BRONZE AGE,,PERIOD_UID:94,Index,EH
PERIOD_UID:62,EARLY BRONZE AGE,,PERIOD_UID:8,Index,EH
PERIOD_UID:63,MIDDLE BRONZE AGE,,PERIOD_UID:8,Index,EH
PERIOD_UID:64,LATE BRONZE AGE,,PERIOD_UID:8,Index,EH
PERIOD_UID:9,IRON AGE,,PERIOD_UID:94,Index,EH
PERIOD_UID:65,EARLY IRON AGE,,PERIOD_UID:9,Index,EH
PERIOD_UID:66,MIDDLE IRON AGE,,PERIOD_UID:9,Index,EH
PERIOD_UID:67,LATE IRON AGE,,PERIOD_UID:9,Index,EH
PERIOD_UID:97,TUDOR,,PERIOD_UID:16,Index,EH
PERIOD_UID:101,ELIZABETHAN,,PERIOD_UID:97,Index,EH
PERIOD_UID:98,STUART,,PERIOD_UID:16,Index,EH
PERIOD_UID:102,JACOBEAN,,PERIOD_UID:98,Index,EH
PERIOD_UID:99,HANOVERIAN,,PERIOD_UID:16,Index,EH
PERIOD_UID:106,GEORGIAN,,PERIOD_UID:99,Index,EH
PERIOD_UID:100,VICTORIAN,,PERIOD_UID:16,Index,EH
PERIOD_UID:103,EARLY 20TH CENTURY,,PERIOD_UID:24,Index,EH
PERIOD_UID:110,EDWARDIAN,,PERIOD_UID:103,Index,EH
PERIOD_UID:108,FIRST WORLD WAR,,PERIOD_UID:103,Index,EH
PERIOD_UID:107,MID 20TH CENTURY,,PERIOD_UID:24,Index,EH
PERIOD_UID:109,SECOND WORLD WAR,,PERIOD_UID:107,Index,EH
PERIOD_UID:104,LATE 20TH CENTURY,,PERIOD_UID:24,Index,
