conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider ,Source
DISTURBANCE_TYPE:1,meteorological,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
DISTURBANCE_TYPE:2,storm,,DISTURBANCE_TYPE:1,Index,GCI,
DISTURBANCE_TYPE:3,fire induced by lightning,,DISTURBANCE_TYPE:1,Index,GCI,
DISTURBANCE_TYPE:4,hydrological,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
DISTURBANCE_TYPE:5,flood,,DISTURBANCE_TYPE:4,Index,GCI,AAT/Events (activities)
DISTURBANCE_TYPE:6,tsunami,,DISTURBANCE_TYPE:4,Index,GCI,AAT/Events (activities)
DISTURBANCE_TYPE:7,geological,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
DISTURBANCE_TYPE:8,volcanic,,DISTURBANCE_TYPE:7,Index,GCI,
DISTURBANCE_TYPE:9,seismic,,DISTURBANCE_TYPE:7,Index,GCI,
DISTURBANCE_TYPE:10,mass movement,,DISTURBANCE_TYPE:7,Index,GCI,
DISTURBANCE_TYPE:11,erosion,,DISTURBANCE_TYPE:7,Index,GCI,
DISTURBANCE_TYPE:12,biological,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
DISTURBANCE_TYPE:13,pest infestation,,DISTURBANCE_TYPE:12,Index,GCI,
DISTURBANCE_TYPE:14,plant growth,,DISTURBANCE_TYPE:12,Index,GCI,
DISTURBANCE_TYPE:15,human-induced,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,AAT/Events (activities)
DISTURBANCE_TYPE:16,fire,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:17,explosion,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:18,pollution,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:19,violence and conflict,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:20,looting/theft,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:21,vandalism,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:22,infrastructure failure,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:23,agriculture,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:24,mining,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:25,construction,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:26,inappropriate use,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:27,lack of maintenance,,DISTURBANCE_TYPE:15,Index,GCI,
DISTURBANCE_TYPE:28,climate change,,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI,
