conceptid,value,valuetype,provider
CTP:6,Engineering,AreaofSignificance,GCI
CTP:7,Engineering,AreaofSignificance,GCI
CTP:8,Engineering,AreaofSignificance,GCI
CTP:12,Architecture,AreaofSignificance,GCI
CTP:13,Architecture,AreaofSignificance,GCI
CTP:15,Architecture,AreaofSignificance,GCI
CTP:16,Architecture,AreaofSignificance,GCI
CTP:17,Architecture,AreaofSignificance,GCI
CTP:18,Architecture,AreaofSignificance,GCI
CTP:19,Architecture,AreaofSignificance,GCI
CTP:20,Architecture,AreaofSignificance,GCI
CTP:22,Architecture,AreaofSignificance,GCI
CTP:23,Architecture,AreaofSignificance,GCI
CTP:27,Architecture,AreaofSignificance,GCI
CTP:29,Architecture,AreaofSignificance,GCI
CTP:30,Architecture,AreaofSignificance,GCI
CTP:31,Architecture,AreaofSignificance,GCI
CTP:33,Architecture,AreaofSignificance,GCI
CTP:35,Architecture,AreaofSignificance,GCI
CTP:36,Architecture,AreaofSignificance,GCI
CTP:37,Architecture,AreaofSignificance,GCI
CTP:38,Architecture,AreaofSignificance,GCI
CTP:39,Architecture,AreaofSignificance,GCI
CTP:41,Architecture,AreaofSignificance,GCI
CTP:42,Architecture,AreaofSignificance,GCI
CTP:43,Architecture,AreaofSignificance,GCI
CTP:44,Architecture,AreaofSignificance,GCI
CTP:47,Architecture,AreaofSignificance,GCI
CTP:49,Architecture,AreaofSignificance,GCI
CTP:50,Architecture,AreaofSignificance,GCI
CTP:52,Architecture,AreaofSignificance,GCI
CTP:53,Architecture,AreaofSignificance,GCI
CTP:54,Architecture,AreaofSignificance,GCI
CTP:57,Architecture,AreaofSignificance,GCI
CTP:58,Architecture,AreaofSignificance,GCI
CTP:59,Architecture,AreaofSignificance,GCI
CTP:60,Architecture,AreaofSignificance,GCI
CTP:62,Architecture,AreaofSignificance,GCI
CTP:63,Architecture,AreaofSignificance,GCI
CTP:64,Architecture,AreaofSignificance,GCI
CTP:65,Architecture,AreaofSignificance,GCI
CTP:67,Architecture,AreaofSignificance,GCI
CTP:68,Architecture,AreaofSignificance,GCI
CTP:70,Architecture,AreaofSignificance,GCI
CTP:71,Architecture,AreaofSignificance,GCI
CTP:72,Architecture,AreaofSignificance,GCI
CTP:74,Architecture,AreaofSignificance,GCI
CTP:75,Architecture,AreaofSignificance,GCI
CTP:6,C/3/3,Criteria,GCI
CTP:7,C/3/3,Criteria,GCI
CTP:8,C/3/3,Criteria,GCI
CTP:12,C/3/3,Criteria,GCI
CTP:13,C/3/3,Criteria,GCI
CTP:15,C/3/3,Criteria,GCI
CTP:16,C/3/3,Criteria,GCI
CTP:17,C/3/3,Criteria,GCI
CTP:18,C/3/3,Criteria,GCI
CTP:19,C/3/3,Criteria,GCI
CTP:20,C/3/3,Criteria,GCI
CTP:22,C/3/3,Criteria,GCI
CTP:23,C/3/3,Criteria,GCI
CTP:27,C/3/3,Criteria,GCI
CTP:29,C/3/3,Criteria,GCI
CTP:30,C/3/3,Criteria,GCI
CTP:31,C/3/3,Criteria,GCI
CTP:33,C/3/3,Criteria,GCI
CTP:35,C/3/3,Criteria,GCI
CTP:36,C/3/3,Criteria,GCI
CTP:37,C/3/3,Criteria,GCI
CTP:38,C/3/3,Criteria,GCI
CTP:39,C/3/3,Criteria,GCI
CTP:41,C/3/3,Criteria,GCI
CTP:42,C/3/3,Criteria,GCI
CTP:43,C/3/3,Criteria,GCI
CTP:44,C/3/3,Criteria,GCI
CTP:47,C/3/3,Criteria,GCI
CTP:49,C/3/3,Criteria,GCI
CTP:50,C/3/3,Criteria,GCI
CTP:52,C/3/3,Criteria,GCI
CTP:53,C/3/3,Criteria,GCI
CTP:54,C/3/3,Criteria,GCI
CTP:57,C/3/3,Criteria,GCI
CTP:58,C/3/3,Criteria,GCI
CTP:59,C/3/3,Criteria,GCI
CTP:60,C/3/3,Criteria,GCI
CTP:62,C/3/3,Criteria,GCI
CTP:63,C/3/3,Criteria,GCI
CTP:64,C/3/3,Criteria,GCI
CTP:65,C/3/3,Criteria,GCI
CTP:67,C/3/3,Criteria,GCI
CTP:68,C/3/3,Criteria,GCI
CTP:70,C/3/3,Criteria,GCI
CTP:71,C/3/3,Criteria,GCI
CTP:72,C/3/3,Criteria,GCI
CTP:74,C/3/3,Criteria,GCI
CTP:75,C/3/3,Criteria,GCI
CTP:6,1920,PeriodOfSignificanceBegin,GCI
CTP:7,1920,PeriodOfSignificanceBegin,GCI
CTP:8,1920,PeriodOfSignificanceBegin,GCI
CTP:12,1966,PeriodOfSignificanceBegin,GCI
CTP:13,1966,PeriodOfSignificanceBegin,GCI
CTP:15,1966,PeriodOfSignificanceBegin,GCI
CTP:16,1966,PeriodOfSignificanceBegin,GCI
CTP:17,1966,PeriodOfSignificanceBegin,GCI
CTP:18,1966,PeriodOfSignificanceBegin,GCI
CTP:19,1966,PeriodOfSignificanceBegin,GCI
CTP:20,1966,PeriodOfSignificanceBegin,GCI
CTP:22,1966,PeriodOfSignificanceBegin,GCI
CTP:23,1966,PeriodOfSignificanceBegin,GCI
CTP:27,1950,PeriodOfSignificanceBegin,GCI
CTP:29,1946,PeriodOfSignificanceBegin,GCI
CTP:30,1946,PeriodOfSignificanceBegin,GCI
CTP:31,1946,PeriodOfSignificanceBegin,GCI
CTP:33,1935,PeriodOfSignificanceBegin,GCI
CTP:35,1945,PeriodOfSignificanceBegin,GCI
CTP:36,1945,PeriodOfSignificanceBegin,GCI
CTP:37,1945,PeriodOfSignificanceBegin,GCI
CTP:38,1945,PeriodOfSignificanceBegin,GCI
CTP:39,1945,PeriodOfSignificanceBegin,GCI
CTP:41,1955,PeriodOfSignificanceBegin,GCI
