conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
GEOMETRY_QUALIFIER:1,perimeter polygon,,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.csv,Index,FGI
GEOMETRY_QUALIFIER:2,footprint polygon,,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.csv,Index,GCI
GEOMETRY_QUALIFIER:3,circumscribed polygon,,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.csv,Index,GCI
GEOMETRY_QUALIFIER:4,buffer polygon,,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.csv,Index,GCI
GEOMETRY_QUALIFIER:5,property line,,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.csv,Index,FGI
GEOMETRY_QUALIFIER:6,site datum point,,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.csv,Index,GCI
GEOMETRY_QUALIFIER:7,center point,,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.csv,Index,GCI
GEOMETRY_QUALIFIER:8,vicinity point,,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.csv,Index,GCI
GEOMETRY_QUALIFIER:9,access point,,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.csv,Index,FGI
GEOMETRY_QUALIFIER:10,facade point,,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.csv,Index,GCI
GEOMETRY_QUALIFIER:11,center line,,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.csv,Index,FGI
