conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
HISTEVENT_TYPE:1,accidents,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:2,armed conflicts,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:3,assassinations,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:4,battles,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:5,combat,,HISTEVENT_TYPE:4,Index,GCI
HISTEVENT_TYPE:6,duels,,HISTEVENT_TYPE:4,Index,GCI
HISTEVENT_TYPE:7,invasions,,HISTEVENT_TYPE:4,Index,GCI
HISTEVENT_TYPE:8,occupations,,HISTEVENT_TYPE:4,Index,GCI
HISTEVENT_TYPE:9,revolutions,,HISTEVENT_TYPE:4,Index,GCI
HISTEVENT_TYPE:10,sieges,,HISTEVENT_TYPE:4,Index,GCI
HISTEVENT_TYPE:11,wars,,HISTEVENT_TYPE:4,Index,GCI
HISTEVENT_TYPE:12,boycotts,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:13,broadcasts,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:14,podcasts,,HISTEVENT_TYPE:13,Index,GCI
HISTEVENT_TYPE:15,radio programs,,HISTEVENT_TYPE:13,Index,GCI
HISTEVENT_TYPE:16,television programs,,HISTEVENT_TYPE:13,Index,GCI
HISTEVENT_TYPE:17,burials,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:18,reburial,,HISTEVENT_TYPE:17,Index,GCI
HISTEVENT_TYPE:19,campaigns,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:20,advertising campaigns,,HISTEVENT_TYPE:19,Index,GCI
HISTEVENT_TYPE:21,military campaigns,,HISTEVENT_TYPE:19,Index,GCI
HISTEVENT_TYPE:22,political campaigns,,HISTEVENT_TYPE:19,Index,GCI
HISTEVENT_TYPE:23,celebrations,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:24,anniversaries,,HISTEVENT_TYPE:23,Index,GCI
HISTEVENT_TYPE:25,comings out,,HISTEVENT_TYPE:23,Index,GCI
HISTEVENT_TYPE:26,feasts,,HISTEVENT_TYPE:23,Index,GCI
HISTEVENT_TYPE:27,festivals,,HISTEVENT_TYPE:23,Index,GCI
HISTEVENT_TYPE:28,triumphs,,HISTEVENT_TYPE:23,Index,GCI
HISTEVENT_TYPE:29,ceremonies,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:30,academic ceremonies,,HISTEVENT_TYPE:29,Index,GCI
HISTEVENT_TYPE:31,building ceremonies,,HISTEVENT_TYPE:29,Index,GCI
HISTEVENT_TYPE:32,cultural ceremonies,,HISTEVENT_TYPE:29,Index,GCI
HISTEVENT_TYPE:33,religious ceremonies,,HISTEVENT_TYPE:29,Index,GCI
HISTEVENT_TYPE:34,commemorations,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:35,contests,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:36,competitions,,HISTEVENT_TYPE:35,Index,GCI
HISTEVENT_TYPE:37,debates,,HISTEVENT_TYPE:35,Index,GCI
HISTEVENT_TYPE:38,races,,HISTEVENT_TYPE:35,Index,GCI
HISTEVENT_TYPE:39,rodeos,,HISTEVENT_TYPE:35,Index,GCI
HISTEVENT_TYPE:40,tournaments,,HISTEVENT_TYPE:35,Index,GCI
HISTEVENT_TYPE:41,cremations,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:42,disasters,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
HISTEVENT_TYPE:43,man-made disasters,,HISTEVENT_TYPE:42,Index,GCI
HISTEVENT_TYPE:44,natural disasters,,HISTEVENT_TYPE:42,Index,GCI
HISTEVENT_TYPE:45,shipwrecks,,HISTEVENT_TYPE:42,Index,GCI
HISTEVENT_TYPE:46,drafts,,HISTORICAL_EVENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
