conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
INTEGRITY:1,Retains sufficient integrity to convey significance,,INTEGRITY_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INTEGRITY:2,Location,,INTEGRITY_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INTEGRITY:3,Design,,INTEGRITY_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INTEGRITY:4,Setting,,INTEGRITY_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INTEGRITY:5,Materials,,INTEGRITY_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INTEGRITY:6,Workmanship,,INTEGRITY_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INTEGRITY:7,Feeling,,INTEGRITY_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INTEGRITY:8,Association,,INTEGRITY_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INTEGRITY:9,Resource does not retain sufficient integrity to convey significance,,INTEGRITY_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INTEGRITY:10,More research needed,,INTEGRITY_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
INTEGRITY:11,No Integrity Aspects checked,,INTEGRITY_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
