conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
MATERIAL:1,Aluminum,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:2,Asbestos,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:3,Brick,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:4,Clay tile,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:5,Composition shingle,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:6,Concrete,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:7,Concrete block,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:8,"Concrete, poured/precast",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:9,Corrugated metal,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:10,Glass block,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:11,Glass skin,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:12,Half timbering,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:13,Marble,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:14,Metal,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:15,Rolled Asphalt,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:16,Slate,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:17,Standing seam,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:18,Steel,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:19,Stone,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:20,"Stone, arroyo",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:21,"Stone, art",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:22,"Stone, cast",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:23,"Stone, cut",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:24,"Stone, natural",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:25,"Stone, simulated",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:26,Stucco,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:27,"Stucco, smooth",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:28,"Stucco, textured",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:29,Terra cotta,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:30,Terrazzo,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:31,Tile,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:32,Travertine,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:33,Unknown,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:34,Vinyl,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:35,Wood,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:36,Wood clapboards,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:37,Wood rustic,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:38,Wood shake,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:39,Wood shingle,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:40,Wood shingles,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:41,"Wood shingles, fish scale",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:42,Wood tongue-and-groove,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:43,Wood vertical  boards,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:44,"Wood, Board and Batten",,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:45,Wrought iron,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
MATERIAL:46,Other,,MATERIAL_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
