conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
MODIFICATION_TYPE:1,Appears to be unaltered,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:2,Completely altered,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:3,No major alterations,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:4,Unknown/not visible,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:5,Addition to rear/side elevation,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:6,Addition to upper story,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:7,Addition to primary elevation,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:8,Awnings added,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:9,Balcony added,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:10,Balcony altered or enclosed,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:11,Brickwork/stone painted,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:12,Carport added,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:13,Carport altered or enclosed,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:14,Carport removed,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:15,Chimney altered,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:16,Decorative elements added,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:17,Decorative elements removed,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:18,Door/entrance added,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:19,Door (primary) replaced,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:20,Door (primary) opening or entrance altered,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:21,Exterior staircases added,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:22,Garage altered or replaced,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:23,Garage door replaced,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:24,Garage postdates residence,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:25,Landscape/hardscape altered,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:26,Parapet altered or removed,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:27,Perimeter fence or wall added,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:28,Porch added,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:29,Porch altered or enclosed,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:30,Porch rails altered or replaced,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:31,Porch removed,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:32,Porte cochere added,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:33,Porte cochere altered or removed,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
MODIFICATION_TYPE:34,Roof dormer added,,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
