conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
NAME_TYPE:1,Primary,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
NAME_TYPE:2,Alternative,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
NAME_TYPE:3,Designation Names,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Collector,GCI
NAME_TYPE:4,National Register of Historic Places,,NAME_TYPE:3,Index,GCI
NAME_TYPE:5,National Historic Landmark,,NAME_TYPE:3,Index,GCI
NAME_TYPE:6,National Monument,,NAME_TYPE:3,Index,GCI
NAME_TYPE:7,California Register of Historic Resources,,NAME_TYPE:3,Index,GCI
NAME_TYPE:8,California Historic Landmark,,NAME_TYPE:3,Index,GCI
NAME_TYPE:9,California Point of Historical Interest,,NAME_TYPE:3,Index,GCI
NAME_TYPE:10,Los Angeles Historic Cultural Monument,,NAME_TYPE:3,Index,GCI
NAME_TYPE:11,Los Angeles Historic Preservation Overlay Zone,,NAME_TYPE:3,Index,GCI
NAME_TYPE:12,Historic,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
