conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
RECOMMENDATION_TYPE:1,archaeological intervention,,RECOMMENDATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
RECOMMENDATION_TYPE:2,archaeological survey,,RECOMMENDATION_TYPE:1,Index,GCI
RECOMMENDATION_TYPE:3,excavation,,RECOMMENDATION_TYPE:1,Index,GCI
RECOMMENDATION_TYPE:4,salvage recording,,RECOMMENDATION_TYPE:1,Index,GCI
RECOMMENDATION_TYPE:5,field survey,,RECOMMENDATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
RECOMMENDATION_TYPE:6,architectural survey,,RECOMMENDATION_TYPE:5,Index,GCI
RECOMMENDATION_TYPE:7,measured survey,,RECOMMENDATION_TYPE:5,Index,GCI
RECOMMENDATION_TYPE:8,photographic recording,,RECOMMENDATION_TYPE:5,Index,GCI
RECOMMENDATION_TYPE:9,topographic survey,,RECOMMENDATION_TYPE:5,Index,GCI
RECOMMENDATION_TYPE:10,heritage assessment,,RECOMMENDATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
RECOMMENDATION_TYPE:11,aerial photograph interpretation,,RECOMMENDATION_TYPE:10,Index,GCI
RECOMMENDATION_TYPE:12,desk based assessment,,RECOMMENDATION_TYPE:10,Index,GCI
RECOMMENDATION_TYPE:13,environmental impact assessment,,RECOMMENDATION_TYPE:10,Index,GCI
RECOMMENDATION_TYPE:14,historic landscape characterisation,,RECOMMENDATION_TYPE:10,Index,GCI
RECOMMENDATION_TYPE:15,in-depth condition assessment,,RECOMMENDATION_TYPE:10,Index,GCI
RECOMMENDATION_TYPE:16,remote sensing,,RECOMMENDATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
RECOMMENDATION_TYPE:17,management intervention,,RECOMMENDATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
RECOMMENDATION_TYPE:18,conservation intervention,,RECOMMENDATION_TYPE:17,Index,GCI
RECOMMENDATION_TYPE:19,reburial,,RECOMMENDATION_TYPE:17,Index,GCI
RECOMMENDATION_TYPE:20,fencing,,RECOMMENDATION_TYPE:17,Index,GCI
RECOMMENDATION_TYPE:21,fire mitigation,,RECOMMENDATION_TYPE:17,Index,GCI
RECOMMENDATION_TYPE:22,designation,,RECOMMENDATION_TYPE:17,Index,GCI
