conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
RELATED_FEATURE:1,Ancillary Building,,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:2,Art,,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:3,Barn,,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:4,Carriage House,,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:5,"Fence, Perimeter",,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:6,"Garage, Detached",,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:7,Garden,,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:8,"Landscape, Designed",,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:9,Mural,,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:10,Parking Lot,,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:11,Pergola,,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:12,"Shed, Storage",,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:13,Signage,,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:14,"Steps, Concrete",,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:15,"Steps, Wood",,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:16,"Streetlight, Parkway",,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:17,Swimming Pool,,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:18,Tennis Court,,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:19,"Tree, Historic",,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:20,Walkway,,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:21,"Wall, Perimeter",,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:22,"Wall, Retaining",,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:23,Fountain,,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:24,Historic tree(s),,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:25,Lawn,,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:26,Mature vegetation,,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:27,Pond/lake,,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
RELATED_FEATURE:28,Sculpture,,RELATED_FEATURE_AUTHORITY_DOCUMENT.csv,Index,GCI
