conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
RESOURCE_CLASSIFICATION:1,Building,,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
RESOURCE_CLASSIFICATION:2,Structure,,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
RESOURCE_CLASSIFICATION:3,Object,,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
RESOURCE_CLASSIFICATION:4,Site,,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
RESOURCE_CLASSIFICATION:5,District,,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.csv,Index,SurveyLA
RESOURCE_CLASSIFICATION:6,District Element,,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.csv,Collector,SurveyLA
RESOURCE_CLASSIFICATION:7,District Contributor,,RESOURCE_CLASSIFICATION:6,Index,SurveyLA
RESOURCE_CLASSIFICATION:8,District Non-Contributor,,RESOURCE_CLASSIFICATION:6,Index,SurveyLA
RESOURCE_CLASSIFICATION:9,District Altered Contributor,,RESOURCE_CLASSIFICATION:6,Index,SurveyLA
RESOURCE_CLASSIFICATION:10,District Potential Contributor,,RESOURCE_CLASSIFICATION:6,Index,SurveyLA
