conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
STYLE:1,No style,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:2,Not Applicable,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:3,Unknown/not visible,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:4,Other,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:5,Adobe,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:6,"Adobe, Late Revival ",,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:7,American Colonial Revival,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:8,American Foursquare,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:9,Arroyo Stone,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:10,Art Deco,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:11,Beaux Arts Classicism,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:12,Brutalist,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:13,Byzantine,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:14,Chateauesque ,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:15,Chicago School,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:16,"Commercial, Vernacular ",,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:17,Corporate International,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:18,Craftsman,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:19,"Craftsman, Airplane Bungalow",,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:20,"Craftsman, Japanese",,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:21,"Craftsman, Swiss",,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:22,Deconstructivist,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:23,Dingbat,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
