conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
UNIT_OF_MEASUREMENT:1,inches,,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT:2,feet,,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT:3,yards,,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT:4,miles,,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT:5,ounces,,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT:6,pounds,,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT:7,tons,,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT:8,millimeters,millimetres,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT:9,centimeters,centimetres,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT:10,meters,metres,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT:11,kilometers,kilometres,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT:12,grams,,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Index,GCI
UNIT_OF_MEASUREMENT:13,kilograms,,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Index,GCI
