conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
CROSS_REFERENCE_RELATIONSHIP_1,is related to,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,WMF
CROSS_REFERENCE_RELATIONSHIP_2,is contained within / contains,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,WMF
CROSS_REFERENCE_RELATIONSHIP_3,was identified in / identified,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,WMF
CROSS_REFERENCE_RELATIONSHIP_4,was assessed in / assessed,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,WMF
CROSS_REFERENCE_RELATIONSHIP_5,is referred to in / refers to,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,WMF
CROSS_REFERENCE_RELATIONSHIP_6,is represented by / represents,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,WMF
CROSS_REFERENCE_RELATIONSHIP_7,Architect,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,WMF
CROSS_REFERENCE_RELATIONSHIP_8,Builder,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,WMF
CROSS_REFERENCE_RELATIONSHIP_9,Copyright Holder,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,WMF
CROSS_REFERENCE_RELATIONSHIP_10,Creator,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,WMF
CROSS_REFERENCE_RELATIONSHIP_11,Excavator,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,WMF
CROSS_REFERENCE_RELATIONSHIP_12,Investigator,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,WMF
CROSS_REFERENCE_RELATIONSHIP_13,Member,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,WMF
CROSS_REFERENCE_RELATIONSHIP_14,Owner,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,WMF
CROSS_REFERENCE_RELATIONSHIP_15,Painter,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,WMF
CROSS_REFERENCE_RELATIONSHIP_16,Participant,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,WMF
CROSS_REFERENCE_RELATIONSHIP_17,Sculptor,,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,Index,WMF
