conceptid,Value,ValueType,Provider 
CROSS_REFERENCE_RELATIONSHIP_1,resource cross-reference,cross-reference type filter,WMF
CROSS_REFERENCE_RELATIONSHIP_2,resource cross-reference,cross-reference type filter,WMF
CROSS_REFERENCE_RELATIONSHIP_3,resource cross-reference,cross-reference type filter,WMF
CROSS_REFERENCE_RELATIONSHIP_4,resource cross-reference,cross-reference type filter,WMF
CROSS_REFERENCE_RELATIONSHIP_5,resource cross-reference,cross-reference type filter,WMF
CROSS_REFERENCE_RELATIONSHIP_6,resource cross-reference,cross-reference type filter,WMF
CROSS_REFERENCE_RELATIONSHIP_7,resource cross-reference,cross-reference type filter,WMF
CROSS_REFERENCE_RELATIONSHIP_8,resource cross-reference,cross-reference type filter,WMF
CROSS_REFERENCE_RELATIONSHIP_9,resource cross-reference,cross-reference type filter,WMF
CROSS_REFERENCE_RELATIONSHIP_10,resource cross-reference,cross-reference type filter,WMF
CROSS_REFERENCE_RELATIONSHIP_11,resource cross-reference,cross-reference type filter,WMF
CROSS_REFERENCE_RELATIONSHIP_12,resource cross-reference,cross-reference type filter,WMF
CROSS_REFERENCE_RELATIONSHIP_13,resource cross-reference,cross-reference type filter,WMF
CROSS_REFERENCE_RELATIONSHIP_14,resource cross-reference,cross-reference type filter,WMF
CROSS_REFERENCE_RELATIONSHIP_15,resource cross-reference,cross-reference type filter,WMF
CROSS_REFERENCE_RELATIONSHIP_16,resource cross-reference,cross-reference type filter,WMF
CROSS_REFERENCE_RELATIONSHIP_17,resource cross-reference,cross-reference type filter,WMF
