conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
ARCHITECTURAL_COMPONENT_1,abutment,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_2,aedicule (frame),,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_3,aisle,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_4,alcove,nook; recess,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_5,ancone (construction),,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_6,ancone (structural),,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_7,angle bar,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_8,angle staff,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_9,apex stone,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_10,apron,apron piece; pitching piece,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_11,apse,tribune,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_11_1,counter apse,,ARCHITECTURAL_COMPONENT_11,Index,GCI
ARCHITECTURAL_COMPONENT_12,arcade,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_13,arch,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_13_1,arch band,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_2,arch brick,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_2_1,keystone,,ARCHITECTURAL_COMPONENT_13_2,Index,GCI
ARCHITECTURAL_COMPONENT_13_3,basket arch,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_4,chancel arch,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_5,elliptical arch,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_6,equilateral arch,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_7,extrados,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_8,false arch,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_9,flat arch,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_10,four centred arch,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_11,horseshoe arch,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_12,impost,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_13,intrados,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_14,pointed arch,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_15,proscenium arch,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_16,relieving arch,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_17,segmental arch,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_18,shouldered arch,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_19,skew arch,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_20,splayed arch,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_21,squinch,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_22,stilted arch,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_23,strainer arch,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_24,three centred arch,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_25,tuscan arch,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_13_26,two centred arch,,ARCHITECTURAL_COMPONENT_13,Index,GCI
ARCHITECTURAL_COMPONENT_14,archway,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_15,arris fillet,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_16,ashlaring,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_17,baldacchino,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_18,balustrade,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_18_1,baluster,,ARCHITECTURAL_COMPONENT_18,Index,GCI
ARCHITECTURAL_COMPONENT_19,band (structural),,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_20,barge board,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_21,base,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_21_1,asiatic base,,ARCHITECTURAL_COMPONENT_21,Index,GCI
ARCHITECTURAL_COMPONENT_21_2,attic base,,ARCHITECTURAL_COMPONENT_21,Index,GCI
ARCHITECTURAL_COMPONENT_21_3,composite base,,ARCHITECTURAL_COMPONENT_21,Index,GCI
ARCHITECTURAL_COMPONENT_21_4,corinthian base,,ARCHITECTURAL_COMPONENT_21,Index,GCI
ARCHITECTURAL_COMPONENT_21_5,doric base,,ARCHITECTURAL_COMPONENT_21,Index,GCI
ARCHITECTURAL_COMPONENT_21_6,ionic base,,ARCHITECTURAL_COMPONENT_21,Index,GCI
ARCHITECTURAL_COMPONENT_21_7,tuscan base,,ARCHITECTURAL_COMPONENT_21,Index,GCI
ARCHITECTURAL_COMPONENT_22,batten,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_23,beam,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_23_1,anchor beam,,ARCHITECTURAL_COMPONENT_23,Index,GCI
ARCHITECTURAL_COMPONENT_23_2,applied beam,,ARCHITECTURAL_COMPONENT_23,Index,GCI
ARCHITECTURAL_COMPONENT_23_3,axial beam,,ARCHITECTURAL_COMPONENT_23,Index,GCI
ARCHITECTURAL_COMPONENT_23_4,bressummer,,ARCHITECTURAL_COMPONENT_23,Index,GCI
ARCHITECTURAL_COMPONENT_23_5,dais beam,,ARCHITECTURAL_COMPONENT_23,Index,GCI
ARCHITECTURAL_COMPONENT_23_6,dragon beam,,ARCHITECTURAL_COMPONENT_23,Index,GCI
ARCHITECTURAL_COMPONENT_23_7,false hammer beam,,ARCHITECTURAL_COMPONENT_23,Index,GCI
ARCHITECTURAL_COMPONENT_23_8,flitched beam,,ARCHITECTURAL_COMPONENT_23,Index,GCI
ARCHITECTURAL_COMPONENT_23_9,girding beam,,ARCHITECTURAL_COMPONENT_23,Index,GCI
ARCHITECTURAL_COMPONENT_23_10,half beam,,ARCHITECTURAL_COMPONENT_23,Index,GCI
ARCHITECTURAL_COMPONENT_23_11,hammer beam,,ARCHITECTURAL_COMPONENT_23,Index,GCI
ARCHITECTURAL_COMPONENT_23_12,rood beam,,ARCHITECTURAL_COMPONENT_23,Index,GCI
ARCHITECTURAL_COMPONENT_23_13,strainer beam,,ARCHITECTURAL_COMPONENT_23,Index,GCI
ARCHITECTURAL_COMPONENT_23_14,tiebeam,,ARCHITECTURAL_COMPONENT_23,Index,GCI
ARCHITECTURAL_COMPONENT_23_15,transverse beam,,ARCHITECTURAL_COMPONENT_23,Index,GCI
ARCHITECTURAL_COMPONENT_24,bed nook,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_25,beetle,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_26,bell frame,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_27,bellcote,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
ARCHITECTURAL_COMPONENT_28,block,,ARCHITECTURAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,Index,GCI
