conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
EXTERNAL_XREF_TYPE_1,document management system,,EXTERNAL XREF TYPE AUTHORITY DOCUMENT.csv,Index,FGI
EXTERNAL_XREF_TYPE_2,flikr,,EXTERNAL XREF TYPE AUTHORITY DOCUMENT.csv,Index,FGI
EXTERNAL_XREF_TYPE_3,bibliography,,EXTERNAL XREF TYPE AUTHORITY DOCUMENT.csv,Index,FGI
EXTERNAL_XREF_TYPE_4,thesauri,,EXTERNAL XREF TYPE AUTHORITY DOCUMENT.csv,Index,GCI
EXTERNAL_XREF_TYPE_5,museum collection,,EXTERNAL XREF TYPE AUTHORITY DOCUMENT.csv,Index,GCI
EXTERNAL_XREF_TYPE_6,library/archive,,EXTERNAL XREF TYPE AUTHORITY DOCUMENT.csv,Index,GCI
EXTERNAL_XREF_TYPE_7,heritage designation,,EXTERNAL XREF TYPE AUTHORITY DOCUMENT.csv,Index,GCI
EXTERNAL_XREF_TYPE_8,heritage casework,,EXTERNAL XREF TYPE AUTHORITY DOCUMENT.csv,Index,GCI
EXTERNAL_XREF_TYPE_9,heritage investigation,,EXTERNAL XREF TYPE AUTHORITY DOCUMENT.csv,Index,GCI
EXTERNAL_XREF_TYPE_10,zoning and land-use,,EXTERNAL XREF TYPE AUTHORITY DOCUMENT.csv,Index,GCI
EXTERNAL_XREF_TYPE_11,building permits,,EXTERNAL XREF TYPE AUTHORITY DOCUMENT.csv,Index,GCI
EXTERNAL_XREF_TYPE_12,cadastre,,EXTERNAL XREF TYPE AUTHORITY DOCUMENT.csv,Index,GCI
EXTERNAL_XREF_TYPE_13,administrative units,,EXTERNAL XREF TYPE AUTHORITY DOCUMENT.csv,Index,GCI
EXTERNAL_XREF_TYPE_14,remote sensing,,EXTERNAL XREF TYPE AUTHORITY DOCUMENT.csv,Index,GCI
EXTERNAL_XREF_TYPE_15,addresses,,EXTERNAL XREF TYPE AUTHORITY DOCUMENT.csv,Index,GCI
EXTERNAL_XREF_TYPE_16,legacy system,,EXTERNAL XREF TYPE AUTHORITY DOCUMENT.csv,Index,FGI
