conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
GEOMETRY_QUALIFIER_1,perimeter polygon,,GEOMETRY QUALIFIER AUTHORITY DOCUMENT.csv,Index,FGI
GEOMETRY_QUALIFIER_2,footprint polygon,,GEOMETRY QUALIFIER AUTHORITY DOCUMENT.csv,Index,GCI
GEOMETRY_QUALIFIER_3,circumscribed polygon,,GEOMETRY QUALIFIER AUTHORITY DOCUMENT.csv,Index,GCI
GEOMETRY_QUALIFIER_4,buffer polygon,,GEOMETRY QUALIFIER AUTHORITY DOCUMENT.csv,Index,GCI
GEOMETRY_QUALIFIER_5,property line,,GEOMETRY QUALIFIER AUTHORITY DOCUMENT.csv,Index,FGI
GEOMETRY_QUALIFIER_6,site datum point,,GEOMETRY QUALIFIER AUTHORITY DOCUMENT.csv,Index,GCI
GEOMETRY_QUALIFIER_7,center point,,GEOMETRY QUALIFIER AUTHORITY DOCUMENT.csv,Index,GCI
GEOMETRY_QUALIFIER_8,vicinity point,,GEOMETRY QUALIFIER AUTHORITY DOCUMENT.csv,Index,GCI
GEOMETRY_QUALIFIER_9,access point,,GEOMETRY QUALIFIER AUTHORITY DOCUMENT.csv,Index,FGI
GEOMETRY_QUALIFIER_10,facade point,,GEOMETRY QUALIFIER AUTHORITY DOCUMENT.csv,Index,GCI
GEOMETRY_QUALIFIER_11,center line,,GEOMETRY QUALIFIER AUTHORITY DOCUMENT.csv,Index,FGI
