conceptid,Preflabel,Altlabels,ParentConceptid,ConceptType,Provider 
INFO_RES:1,Image,,INFORMATION RESOURCE TYPE AUTHORITY DOCUMENT.csv,Collector,DC
INFO_RES:2,Still Image,,INFO_RES:1,Index,DC
INFO_RES:3,Moving Image,,INFO_RES:1,Index,DC
INFO_RES:4,Document/Text,,INFORMATION RESOURCE TYPE AUTHORITY DOCUMENT.csv,Index,DC
INFO_RES:5,Collection,,INFORMATION RESOURCE TYPE AUTHORITY DOCUMENT.csv,Index,DC
INFO_RES:6,Dataset,,INFORMATION RESOURCE TYPE AUTHORITY DOCUMENT.csv,Index,DC
INFO_RES:7,Interactive Resource,,INFORMATION RESOURCE TYPE AUTHORITY DOCUMENT.csv,Index,DC
INFO_RES:8,Service,,INFORMATION RESOURCE TYPE AUTHORITY DOCUMENT.csv,Index,DC
INFO_RES:9,Software,,INFORMATION RESOURCE TYPE AUTHORITY DOCUMENT.csv,Index,DC
INFO_RES:10,Sound,,INFORMATION RESOURCE TYPE AUTHORITY DOCUMENT.csv,Index,DC
INFO_RES:11,Physical Object,,INFORMATION RESOURCE TYPE AUTHORITY DOCUMENT.csv,Index,DC
