conceptid,Preflabel,altlabels,ParentConceptid,ConceptType,Provider
LANGUAGE:1,Afro-Asiatic language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:2,Algonquian language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:3,Austroasiatic language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:4,Austronesian language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:5,Aymaran language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:6,Constructed language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:7,Creole language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:8,Dene-Yeniseian language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:9,Dravidian language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:10,Eskimo-Aleut language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:11,Indo-European language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:12,Japonic language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:13,Koreanic language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:14,Language isolate language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:15,Mongolic language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:16,Niger-Congo language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:17,Nilo-Saharan language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:18,Northeast Caucasian language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:19,Northwest Caucasian language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:20,Quechuan language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:21,Sino-Tibetan language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:22,South Caucasian language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:23,Tai-Kadai language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:24,Tupian language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:25,Turkic language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:26,Uralic language family,,LANGUAGE AUTHORITY DOCUMENT.csv,Index,GCI
LANGUAGE:27,Abkhaz,ab,LANGUAGE:19,Index,LOC/ISO 639-1
LANGUAGE:28,Afar,aa,LANGUAGE:1,Index,LOC/ISO 639-1
LANGUAGE:29,Afrikaans,af,LANGUAGE:11,Index,LOC/ISO 639-1
