conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
lookup_table:8,primary,,NAME TYPE AUTHORITY DOCUMENT.csv,Index,EH
lookup_table:9,alternative,,NAME TYPE AUTHORITY DOCUMENT.csv,Index,EH
lookup_table:10,maiden,,NAME TYPE AUTHORITY DOCUMENT.csv,Index,EH
lookup_table:11,statutory,,NAME TYPE AUTHORITY DOCUMENT.csv,Index,EH
lookup_table:12,former,,NAME TYPE AUTHORITY DOCUMENT.csv,Index,EH
lookup_table:13,latest,,NAME TYPE AUTHORITY DOCUMENT.csv,Index,EH
lookup_table:3505,original,,NAME TYPE AUTHORITY DOCUMENT.csv,Index,EH
lookup_table:743,registered,,NAME TYPE AUTHORITY DOCUMENT.csv,Index,EH
lookup_table:744,pseudonym,,NAME TYPE AUTHORITY DOCUMENT.csv,Index,EH
lookup_table:5271,sobriquet,,NAME TYPE AUTHORITY DOCUMENT.csv,Index,EH
lookup_table:5663,formerly identified as,,NAME TYPE AUTHORITY DOCUMENT.csv,Index,EH
NAME_TYPE_1,Historic Local Transliteration,,NAME TYPE AUTHORITY DOCUMENT.csv,Index,GCI
