conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
SUBJECT_1,agents,,SUBJECT AUTHORITY DOCUMENT.csv,Index,GCI
SUBJECT_1_1,people,,SUBJECT_1,Index,GCI
SUBJECT_1_2,organizations,,SUBJECT_1,Index,GCI
SUBJECT_1_3,living organisms,,SUBJECT_1,Index,GCI
SUBJECT_2,activities,,SUBJECT AUTHORITY DOCUMENT.csv,Index,GCI
SUBJECT_2_1,events,,SUBJECT_2,Index,GCI
SUBJECT_2_2,physical and mental activities,,SUBJECT_2,Index,GCI
SUBJECT_2_3,processes and techniques,,SUBJECT_2,Index,GCI
SUBJECT_3,objects,,SUBJECT AUTHORITY DOCUMENT.csv,Index,GCI
SUBJECT_4,places,,SUBJECT AUTHORITY DOCUMENT.csv,Index,GCI
SUBJECT_5,design elements,,SUBJECT AUTHORITY DOCUMENT.csv,Index,GCI
